Gender,Height,Weight,BMI Class,age,activity level,TDEE,target calories,recommended meals
Male,155,51,2,26,Very Active,2335.22,2335.22,Medium Calorie
Female,154,132,5,42,Sedentary,2293.8,1793.8,Low Calorie
Female,159,104,5,28,Sedentary,2079.3,1579.3,Low Calorie
Female,160,83,4,47,Sedentary,1720.8,1320.8,Low Calorie
Female,163,57,0,35,Moderately Active,1941.76,2441.76,Medium Calorie
Male,176,109,4,20,Sedentary,2514.0,2114.0,Medium Calorie
Female,164,71,3,48,Moderately Active,2067.7,1767.7,Low Calorie
Female,198,50,0,18,Very Active,2564.21,3064.21,High Calorie
Female,171,155,5,38,Lightly Active,3118.16,2618.16,High Calorie
Male,183,153,5,22,Lightly Active,3532.03,3032.03,High Calorie
Female,155,115,5,34,Sedentary,2145.3,1645.3,Low Calorie
Male,152,141,5,46,Moderately Active,3309.25,2809.25,High Calorie
Female,177,155,5,25,Lightly Active,3259.09,2759.09,High Calorie
Male,196,116,4,34,Sedentary,2664.0,2264.0,Medium Calorie
Female,195,147,4,18,Very Active,4205.12,3805.12,High Calorie
Female,168,135,5,25,Moderately Active,3276.7,2776.7,High Calorie
Female,188,128,4,23,Moderately Active,3377.45,2977.45,High Calorie
Male,197,149,4,34,Very Active,4409.53,4009.53,High Calorie
Male,159,140,5,42,Moderately Active,3392.56,2892.56,High Calorie
Male,158,95,4,33,Very Active,3066.19,2666.19,High Calorie
Female,184,121,4,40,Moderately Active,3098.45,2698.45,High Calorie
Female,182,84,3,50,Sedentary,1879.8,1579.8,Low Calorie
Female,188,80,2,18,Very Active,2973.9,2973.9,High Calorie
Female,164,70,3,37,Very Active,2378.78,2078.78,Medium Calorie
Male,161,72,3,18,Lightly Active,2256.72,1956.72,Low Calorie
Male,170,115,4,27,Very Active,3592.31,3192.31,High Calorie
Male,170,81,3,28,Very Active,2997.19,2697.19,High Calorie
Male,169,141,5,44,Lightly Active,3095.47,2595.47,High Calorie
Female,153,149,5,34,Moderately Active,3278.64,2778.64,High Calorie
Female,179,67,2,20,Very Active,2635.37,2635.37,High Calorie
Female,184,147,5,22,Lightly Active,3229.88,2729.88,High Calorie
Male,199,99,2,28,Moderately Active,3253.06,3253.06,High Calorie
Female,179,114,4,27,Lightly Active,2698.78,2298.78,Medium Calorie
Male,152,146,5,27,Sedentary,2736.0,2236.0,Medium Calorie
Male,154,100,5,18,Moderately Active,2910.12,2410.12,Medium Calorie
Female,197,72,2,30,Moderately Active,2542.39,2542.39,High Calorie
Female,165,83,4,18,Sedentary,1932.3,1532.3,Low Calorie
Female,161,154,5,35,Lightly Active,3039.09,2539.09,High Calorie
Male,179,83,3,27,Very Active,3137.34,2837.34,High Calorie
Female,150,119,5,26,Lightly Active,2525.19,2025.19,Medium Calorie
Male,196,69,1,20,Very Active,3139.5,3439.5,High Calorie
Female,168,115,3,18,Lightly Active,2679.88,2379.88,Medium Calorie
Female,168,139,5,38,Sedentary,2506.8,2006.8,Medium Calorie
Male,140,52,3,18,Lightly Active,1801.25,1501.25,Low Calorie
Female,186,148,4,18,Sedentary,2869.8,2469.8,Medium Calorie
Female,190,50,0,30,Moderately Active,2133.58,2633.58,High Calorie
Male,185,60,1,20,Sedentary,1993.5,2293.5,Medium Calorie
Male,145,117,5,18,Sedentary,2389.5,1889.5,Low Calorie
Male,154,81,4,34,Sedentary,1929.0,1529.0,Low Calorie
Female,164,160,5,43,Very Active,3879.53,3379.53,High Calorie
Female,185,52,0,23,Moderately Active,2170.39,2670.39,High Calorie
Female,188,99,3,31,Moderately Active,2865.95,2565.95,High Calorie
Male,187,122,4,18,Very Active,3973.97,3573.97,High Calorie
Male,173,131,5,22,Very Active,3943.78,3443.78,High Calorie
Male,157,110,5,41,Moderately Active,2915.94,2415.94,Medium Calorie
Female,161,134,5,26,Lightly Active,2825.97,2325.97,Medium Calorie
Male,178,117,4,44,Lightly Active,2842.81,2442.81,Medium Calorie
Male,166,160,5,44,Lightly Active,3330.94,2830.94,High Calorie
Male,145,130,5,57,Sedentary,2311.5,1811.5,Low Calorie
Male,178,138,5,32,Moderately Active,3623.12,3123.12,High Calorie
Male,168,158,5,18,Sedentary,3054.0,2554.0,High Calorie
Male,161,155,5,23,Lightly Active,3363.59,2863.59,High Calorie
